jd wavelength flux fluxerr code cflag memo
2450994.7403925494 11.5831 4.92877 0.183638 568 999 UKIRT1998
2450994.7403925494 11.7662 4.70278 0.15837600000000002 568 999 UKIRT1998
2450994.7403925494 11.9491 5.04262 0.181261 568 999 UKIRT1998
2450994.7403925494 12.1314 5.14625 0.220891 568 999 UKIRT1998
2450994.7403925494 12.3137 4.90545 0.189758 568 999 UKIRT1998
2450994.7403925494 12.4957 5.45917 0.27905 568 999 UKIRT1998
2450994.7403925494 12.6773 5.7165 0.252921 568 999 UKIRT1998
2450994.7403925494 12.8583 5.103350000000001 0.21060900000000002 568 999 UKIRT1998
2450994.7403925494 13.0393 5.4956700000000005 0.286335 568 999 UKIRT1998
2450994.7924731895 8.05926 2.33435 0.09399930000000001 568 999 UKIRT1998
2450994.7924731895 8.24642 2.6043600000000002 0.0646856 568 999 UKIRT1998
2450994.7924731895 8.43345 3.13851 0.0953801 568 999 UKIRT1998
2450994.7924731895 8.62034 3.25484 0.096363 568 999 UKIRT1998
2450994.7924731895 8.8068 3.51618 0.170504 568 999 UKIRT1998
2450994.7924731895 8.99337 3.5445100000000003 0.116258 568 999 UKIRT1998
2450994.7924731895 9.17978 3.70534 0.153288 568 999 UKIRT1998
2450994.7924731895 9.92326 4.46448 0.16601400000000002 568 999 UKIRT1998
2450994.7924731895 10.10869 4.50033 0.11007 568 999 UKIRT1998
2450994.7924731895 10.29391 4.69445 0.121041 568 999 UKIRT1998
2450994.7924731895 10.47862 4.46598 0.18981800000000001 568 999 UKIRT1998
2450994.7924731895 10.6634 5.00995 0.151047 568 999 UKIRT1998
2450994.7924731895 10.8479 5.23142 0.124705 568 999 UKIRT1998
2450994.7924731895 11.0322 5.358479999999999 0.130113 568 999 UKIRT1998
2450994.7924731895 11.2159 5.645180000000001 0.164433 568 999 UKIRT1998
2450994.7924731895 11.3996 5.79664 0.141519 568 999 UKIRT1998
2450994.7924731895 11.5831 5.74793 0.17753200000000002 568 999 UKIRT1998
2450994.7924731895 11.7662 6.075010000000001 0.16116 568 999 UKIRT1998
2450994.7924731895 11.9491 6.10248 0.24016700000000002 568 999 UKIRT1998
2450994.7924731895 12.1314 6.20757 0.24717599999999998 568 999 UKIRT1998
2450994.7924731895 12.3137 5.9725 0.240893 568 999 UKIRT1998
2450994.7924731895 12.4957 6.92668 0.219611 568 999 UKIRT1998
2450994.7924731895 12.6773 6.60344 0.23941300000000001 568 999 UKIRT1998
2450994.7924731895 12.8583 6.1575299999999995 0.174965 568 999 UKIRT1998
2450994.7924731895 13.0393 6.68416 0.23497 568 999 UKIRT1998
2450994.8341376856 8.05926 2.17655 0.181909 568 999 UKIRT1998
2450994.8341376856 8.24642 2.4208000000000003 0.120847 568 999 UKIRT1998
2450994.8341376856 8.43345 2.63108 0.0995787 568 999 UKIRT1998
2450994.8341376856 8.62034 2.76446 0.13532 568 999 UKIRT1998
2450994.8341376856 8.8068 3.1686300000000003 0.106495 568 999 UKIRT1998
2450994.8341376856 8.99337 3.0347600000000003 0.114303 568 999 UKIRT1998
2450994.8341376856 9.17978 3.29103 0.149696 568 999 UKIRT1998
2450994.8341376856 9.92326 3.85889 0.178887 568 999 UKIRT1998
2450994.8341376856 10.10869 4.15845 0.147337 568 999 UKIRT1998
2450994.8341376856 10.29391 4.17117 0.162987 568 999 UKIRT1998
2450994.8341376856 10.47862 4.36163 0.974347 568 999 UKIRT1998
2450994.8341376856 10.6634 4.34414 0.161821 568 999 UKIRT1998
2450994.8341376856 10.8479 4.54527 0.18685400000000002 568 999 UKIRT1998
2450994.8341376856 11.0322 4.824020000000001 0.24513800000000002 568 999 UKIRT1998
2450994.8341376856 11.2159 5.00007 0.225831 568 999 UKIRT1998
2450994.8341376856 11.3996 4.97675 0.20233199999999998 568 999 UKIRT1998
2450994.8341376856 11.5831 4.8649700000000005 0.263894 568 999 UKIRT1998
2450994.8341376856 11.7662 5.41371 0.181637 568 999 UKIRT1998
2450994.8341376856 11.9491 5.76306 0.292345 568 999 UKIRT1998
2450994.8341376856 12.1314 5.88942 0.17603800000000003 568 999 UKIRT1998
2450994.8341376856 12.3137 6.017180000000001 0.25061300000000003 568 999 UKIRT1998
2450994.8341376856 12.4957 6.06304 0.37523 568 999 UKIRT1998
2450994.8341376856 12.6773 6.6067 0.32181200000000004 568 999 UKIRT1998
2450994.8341376856 12.8583 5.73237 0.408546 568 999 UKIRT1998
2450994.8341376856 13.0393 6.55538 0.472577 568 999 UKIRT1998
2450992.7404947383 15.7565 70.9723 131.488 568 999 UKIRT1998
2450992.7404947383 15.8767 40.397800000000004 42.179199999999994 568 999 UKIRT1998
2450992.7404947383 16.0219 10.168600000000001 3.43439 568 999 UKIRT1998
2450992.7404947383 16.142 14.4674 3.5874 568 999 UKIRT1998
2450992.7404947383 16.2871 6.20979 2.1311 568 999 UKIRT1998
2450992.7404947383 16.4071 6.53047 2.20792 568 999 UKIRT1998
2450992.7404947383 16.5523 7.801520000000001 1.30624 568 999 UKIRT1998
2450992.7404947383 16.6722 8.02545 1.22068 568 999 UKIRT1998
2450992.7404947383 16.7971 9.723469999999999 1.17466 568 999 UKIRT1998
2450992.7404947383 16.917 7.98181 0.497448 568 999 UKIRT1998
2450992.7404947383 17.081 8.38481 0.776539 568 999 UKIRT1998
2450992.7404947383 17.2008 7.887510000000001 0.500939 568 999 UKIRT1998
2450992.7404947383 17.3453 8.232299999999999 0.430892 568 999 UKIRT1998
2450992.7404947383 17.465 8.95287 0.423036 568 999 UKIRT1998
2450992.7404947383 17.6089 8.877120000000001 0.34694200000000003 568 999 UKIRT1998
2450992.7404947383 17.7285 8.31899 0.38408600000000004 568 999 UKIRT1998
2450992.7404947383 17.8721 8.30527 0.34281900000000004 568 999 UKIRT1998
2450992.7404947383 17.9917 8.09947 0.225779 568 999 UKIRT1998
2450992.7404947383 18.135 8.943370000000002 0.503505 568 999 UKIRT1998
2450992.7404947383 18.2544 8.45175 0.211914 568 999 UKIRT1998
2450992.7404947383 18.3978 7.91569 0.474061 568 999 UKIRT1998
2450992.7404947383 18.5172 7.7875000000000005 0.562297 568 999 UKIRT1998
2450992.7404947383 18.6599 8.35656 0.231029 568 999 UKIRT1998
2450992.7404947383 18.7792 7.53269 0.37545 568 999 UKIRT1998
2450992.7404947383 18.9217 8.35357 0.829151 568 999 UKIRT1998
2450992.7404947383 19.0409 8.51309 1.27551 568 999 UKIRT1998
2450992.7404947383 19.1834 6.630050000000001 1.5052400000000001 568 999 UKIRT1998
2450992.7404947383 19.3025 7.54872 0.597793 568 999 UKIRT1998
2450992.7404947383 19.4442 7.7296700000000005 0.47439400000000004 568 999 UKIRT1998
2450992.7404947383 19.5633 6.7151499999999995 0.62501 568 999 UKIRT1998
2450992.7404947383 19.7047 8.72342 1.0619100000000001 568 999 UKIRT1998
2450992.7404947383 19.8236 7.65607 0.570722 568 999 UKIRT1998
2450992.7404947383 19.9651 8.27381 2.5194699999999997 568 999 UKIRT1998
2450992.7404947383 20.0839 9.54799 1.2027700000000001 568 999 UKIRT1998
2450992.7404947383 20.2247 8.80382 0.8235030000000001 568 999 UKIRT1998
2450992.7404947383 20.3434 7.91474 0.361046 568 999 UKIRT1998
2450992.7404947383 20.4838 8.61461 0.7809170000000001 568 999 UKIRT1998
2450992.7404947383 20.6024 8.43797 0.45126700000000003 568 999 UKIRT1998
2450992.7404947383 20.7428 8.76592 0.662241 568 999 UKIRT1998
2450992.7404947383 20.8613 8.13502 0.239239 568 999 UKIRT1998
2450992.7404947383 21.0009 9.96377 1.4896500000000001 568 999 UKIRT1998
2450992.7404947383 21.1193 7.905550000000001 0.9488730000000001 568 999 UKIRT1998
2450992.7404947383 21.2586 9.22983 1.43651 568 999 UKIRT1998
2450992.7404947383 21.3768 7.6428400000000005 0.41886900000000005 568 999 UKIRT1998
2450992.7404947383 21.5161 8.37209 0.795868 568 999 UKIRT1998
2450992.7404947383 21.6342 7.17734 0.7742859999999999 568 999 UKIRT1998
2450992.7404947383 21.7727 17.1528 6.68025 568 999 UKIRT1998
2450992.7404947383 21.8907 5.466670000000001 2.08697 568 999 UKIRT1998
